Nome;Cor;Tamanho;Preco;Estoque
Vestido Bic Botões;Azul bic;M;159.9;16
Vestido Bic Botões;Azul bic;G;159.9;2
Vestido Bic Botões;Azul bic;GG;159.9;0
Conjunto Gabriela;Azul;P;159.9;0
Conjunto Gabriela;Azul;M;159.9;0
Conjunto Gabriela;Azul;G;159.9;0
Conjunto Gabriela;Azul;GG;159.9;0
Conjunto Gabriela;Verde;P;159.9;0
Conjunto Gabriela;Verde;M;159.9;0
Conjunto Gabriela;Verde;G;159.9;0
Conjunto Gabriela;Verde;GG;159.9;0
Vestido Botões;Verde limão;PP;159.9;0
Vestido Botões;Verde limão;P;159.9;0
Vestido Botões;Verde limão;M;159.9;0
Vestido Botões;Verde limão;G;159.9;0
Vestido Botões;Verde limão;GG;143.9;0
Vestido Fúcsia;Fúcsia;PP;159.9;0
Vestido Fúcsia;Fúcsia;P;159.9;0
Vestido Fúcsia;Fúcsia;M;159.9;0
Vestido Fúcsia;Fúcsia;G;159.9;0
Vestido Fúcsia;Fúcsia;GG;159.9;0
Vestido Helena;Sem Cor;P;149.9;0
Vestido Helena;Sem Cor;M;149.9;0
Vestido Helena;Sem Cor;G;149.9;0
Vestido Helena;Sem Cor;GG;149.9;0
Vestido Helena;Sem Cor;PP;149.9;0
Vestido Celeste;Sem Cor;PP;149.9;0
Vestido Celeste;Sem Cor;P;149.9;0
Vestido Celeste;Sem Cor;M;149.9;0
Vestido Celeste;Sem Cor;G;149.9;1
Vestido Celeste;Sem Cor;GG;149.9;6
Saia Xadrez;Preto;PP;129.9;0
Saia Xadrez;Preto;P;129.9;0
Saia Xadrez;Preto;M;129.9;1
Saia Xadrez;Preto;G;129.9;1
Saia Xadrez;Preto;GG;129.9;0
